"run","randomSeed","initNoDealers","initNoPolice","probArrest","initNoUsers"
1,-1335106102,1,1,1.0,15
3,-1335106038,1,9,1.0,15
5,-1335106019,5,5,1.0,15
7,-1335106004,9,1,1.0,15
9,-1335105989,9,9,1.0,15
11,-1335105974,1,5,1.0,15
13,-1335105957,5,1,1.0,15
15,-1335105946,5,9,1.0,15
17,-1335105922,9,5,1.0,15
19,-1335105909,1,1,1.0,15
21,-1335105899,1,9,1.0,15
23,-1335105888,5,5,1.0,15
25,-1335105873,9,1,1.0,15
27,-1335105866,9,9,1.0,15
29,-1335105855,1,5,1.0,15
31,-1335105847,5,1,1.0,15
33,-1335105840,5,9,1.0,15
35,-1335105833,9,5,1.0,15
37,-1335105826,1,1,1.0,15
39,-1335105821,1,9,1.0,15
41,-1335105812,5,5,1.0,15
43,-1335105798,9,1,1.0,15
45,-1335105793,9,9,1.0,15
47,-1335105776,1,5,1.0,15
49,-1335105760,5,1,1.0,15
51,-1335105750,5,9,1.0,15
53,-1335105745,9,5,1.0,15
55,-1335105739,1,1,1.0,15
57,-1335105734,1,9,1.0,15
59,-1335105727,5,5,1.0,15
61,-1335105720,9,1,1.0,15
63,-1335105705,9,9,1.0,15
65,-1335105696,1,5,1.0,15
67,-1335105690,5,1,1.0,15
69,-1335105685,5,9,1.0,15
71,-1335105680,9,5,1.0,15
73,-1335105676,1,1,1.0,15
75,-1335105671,1,9,1.0,15
77,-1335105666,5,5,1.0,15
79,-1335105660,9,1,1.0,15
81,-1335105653,9,9,1.0,15
83,-1335105648,1,5,1.0,15
85,-1335105638,5,1,1.0,15
87,-1335105634,5,9,1.0,15
89,-1335105626,9,5,1.0,15
2,-1335106046,1,5,1.0,15
4,-1335105946,5,1,1.0,15
6,-1335105921,5,9,1.0,15
8,-1335105900,9,5,1.0,15
10,-1335105878,1,1,1.0,15
12,-1335105864,1,9,1.0,15
14,-1335105851,5,5,1.0,15
16,-1335105840,9,1,1.0,15
18,-1335105828,9,9,1.0,15
20,-1335105812,1,5,1.0,15
22,-1335105802,5,1,1.0,15
24,-1335105790,5,9,1.0,15
26,-1335105775,9,5,1.0,15
28,-1335105760,1,1,1.0,15
30,-1335105747,1,9,1.0,15
32,-1335105722,5,5,1.0,15
34,-1335105713,9,1,1.0,15
36,-1335105705,9,9,1.0,15
38,-1335105698,1,5,1.0,15
40,-1335105690,5,1,1.0,15
42,-1335105680,5,9,1.0,15
44,-1335105673,9,5,1.0,15
46,-1335105662,1,1,1.0,15
48,-1335105650,1,9,1.0,15
50,-1335105644,5,5,1.0,15
52,-1335105633,9,1,1.0,15
54,-1335105623,9,9,1.0,15
56,-1335105615,1,5,1.0,15
58,-1335105610,5,1,1.0,15
60,-1335105605,5,9,1.0,15
62,-1335105596,9,5,1.0,15
64,-1335105591,1,1,1.0,15
66,-1335105586,1,9,1.0,15
68,-1335105581,5,5,1.0,15
70,-1335105576,9,1,1.0,15
72,-1335105572,9,9,1.0,15
74,-1335105568,1,5,1.0,15
76,-1335105563,5,1,1.0,15
78,-1335105559,5,9,1.0,15
80,-1335105554,9,5,1.0,15
82,-1335105549,1,1,1.0,15
84,-1335105541,1,9,1.0,15
86,-1335105537,5,5,1.0,15
88,-1335105533,9,1,1.0,15
90,-1335105531,9,9,1.0,15
