"run","noSold","noArrested","noBought","tick"
1,2.0,0.0,2.0,1.0
1,2.0,0.0,2.0,2.0
1,3.0,0.0,4.0,3.0
1,3.0,0.0,3.0,4.0
1,2.0,0.0,2.0,5.0
1,6.0,0.0,7.0,6.0
1,2.0,0.0,2.0,7.0
1,2.0,0.0,2.0,8.0
1,3.0,0.0,3.0,9.0
1,2.0,0.0,2.0,10.0
1,1.0,0.0,1.0,11.0
1,3.0,0.0,4.0,12.0
1,1.0,0.0,1.0,13.0
1,4.0,0.0,5.0,14.0
1,3.0,0.0,3.0,15.0
1,4.0,0.0,4.0,16.0
1,1.0,1.0,1.0,17.0
1,3.0,1.0,2.0,18.0
1,3.0,1.0,2.0,19.0
1,2.0,1.0,1.0,20.0
3,2.0,1.0,2.0,1.0
3,1.0,1.0,0.0,2.0
3,2.0,1.0,3.0,3.0
3,3.0,1.0,2.0,4.0
3,6.0,1.0,6.0,5.0
3,6.0,1.0,5.0,6.0
3,2.0,1.0,1.0,7.0
3,1.0,1.0,0.0,8.0
3,3.0,1.0,3.0,9.0
3,3.0,1.0,2.0,10.0
3,3.0,1.0,3.0,11.0
3,6.0,2.0,5.0,12.0
3,5.0,2.0,3.0,13.0
3,4.0,3.0,1.0,14.0
3,5.0,4.0,2.0,15.0
3,5.0,5.0,3.0,16.0
3,6.0,5.0,3.0,17.0
3,7.0,5.0,4.0,18.0
3,6.0,5.0,2.0,19.0
3,7.0,5.0,3.0,20.0
5,2.0,1.0,2.0,1.0
5,1.0,1.0,0.0,2.0
5,3.0,1.0,2.0,3.0
5,2.0,1.0,1.0,4.0
5,2.0,1.0,1.0,5.0
5,1.0,1.0,0.0,6.0
5,8.0,1.0,7.0,7.0
5,2.0,1.0,1.0,8.0
5,2.0,1.0,1.0,9.0
5,4.0,1.0,3.0,10.0
5,3.0,1.0,3.0,11.0
5,5.0,2.0,4.0,12.0
5,3.0,2.0,1.0,13.0
5,3.0,2.0,1.0,14.0
5,4.0,2.0,2.0,15.0
5,4.0,2.0,2.0,16.0
5,2.0,2.0,0.0,17.0
5,3.0,2.0,1.0,18.0
5,4.0,2.0,3.0,19.0
5,5.0,2.0,3.0,20.0
7,4.0,0.0,4.0,1.0
7,3.0,0.0,3.0,2.0
7,0.0,0.0,0.0,3.0
7,3.0,0.0,3.0,4.0
7,4.0,0.0,4.0,5.0
7,3.0,0.0,3.0,6.0
7,3.0,0.0,3.0,7.0
7,1.0,0.0,1.0,8.0
7,2.0,0.0,2.0,9.0
7,1.0,1.0,1.0,10.0
7,3.0,1.0,3.0,11.0
7,4.0,1.0,3.0,12.0
7,3.0,1.0,2.0,13.0
7,1.0,1.0,0.0,14.0
7,4.0,1.0,3.0,15.0
7,2.0,1.0,2.0,16.0
7,1.0,1.0,1.0,17.0
7,2.0,1.0,1.0,18.0
7,3.0,1.0,2.0,19.0
7,2.0,1.0,1.0,20.0
9,4.0,1.0,5.0,1.0
9,3.0,2.0,3.0,2.0
9,7.0,2.0,5.0,3.0
9,4.0,2.0,2.0,4.0
9,5.0,2.0,3.0,5.0
9,5.0,2.0,4.0,6.0
9,3.0,2.0,1.0,7.0
9,3.0,2.0,2.0,8.0
9,4.0,2.0,2.0,9.0
9,3.0,2.0,2.0,10.0
9,3.0,2.0,2.0,11.0
9,4.0,2.0,2.0,12.0
9,7.0,3.0,5.0,13.0
9,5.0,3.0,3.0,14.0
9,4.0,4.0,3.0,15.0
9,5.0,4.0,2.0,16.0
9,5.0,4.0,5.0,17.0
9,6.0,6.0,2.0,18.0
9,6.0,6.0,1.0,19.0
9,8.0,6.0,2.0,20.0
11,1.0,0.0,1.0,1.0
11,5.0,0.0,5.0,2.0
11,4.0,0.0,4.0,3.0
11,2.0,0.0,2.0,4.0
11,2.0,0.0,2.0,5.0
11,2.0,0.0,2.0,6.0
11,1.0,0.0,1.0,7.0
11,1.0,0.0,1.0,8.0
11,2.0,0.0,2.0,9.0
11,1.0,0.0,1.0,10.0
11,0.0,0.0,0.0,11.0
11,1.0,0.0,1.0,12.0
11,0.0,0.0,0.0,13.0
11,1.0,0.0,1.0,14.0
11,2.0,0.0,2.0,15.0
11,3.0,0.0,3.0,16.0
11,2.0,0.0,2.0,17.0
11,4.0,0.0,4.0,18.0
11,4.0,0.0,4.0,19.0
11,2.0,0.0,2.0,20.0
13,0.0,0.0,0.0,1.0
13,1.0,0.0,1.0,2.0
13,2.0,0.0,2.0,3.0
13,3.0,0.0,4.0,4.0
13,1.0,0.0,2.0,5.0
13,1.0,0.0,1.0,6.0
13,2.0,0.0,2.0,7.0
13,2.0,0.0,2.0,8.0
13,2.0,0.0,2.0,9.0
13,2.0,0.0,2.0,10.0
13,4.0,0.0,5.0,11.0
13,1.0,0.0,1.0,12.0
13,0.0,0.0,0.0,13.0
13,2.0,0.0,2.0,14.0
13,2.0,0.0,2.0,15.0
13,1.0,0.0,1.0,16.0
13,3.0,0.0,3.0,17.0
13,3.0,0.0,4.0,18.0
13,1.0,0.0,1.0,19.0
13,3.0,0.0,3.0,20.0
15,1.0,0.0,1.0,1.0
15,1.0,0.0,2.0,2.0
15,0.0,0.0,0.0,3.0
15,3.0,0.0,3.0,4.0
15,3.0,1.0,3.0,5.0
15,3.0,1.0,3.0,6.0
15,4.0,2.0,3.0,7.0
15,3.0,2.0,2.0,8.0
15,3.0,2.0,2.0,9.0
15,3.0,2.0,2.0,10.0
15,4.0,2.0,2.0,11.0
15,3.0,2.0,1.0,12.0
15,3.0,3.0,2.0,13.0
15,5.0,3.0,3.0,14.0
15,3.0,3.0,1.0,15.0
15,4.0,3.0,1.0,16.0
15,5.0,4.0,2.0,17.0
15,5.0,4.0,4.0,18.0
15,5.0,4.0,1.0,19.0
15,5.0,5.0,2.0,20.0
17,2.0,0.0,2.0,1.0
17,5.0,0.0,5.0,2.0
17,1.0,0.0,2.0,3.0
17,0.0,0.0,0.0,4.0
17,2.0,0.0,3.0,5.0
17,3.0,0.0,4.0,6.0
17,2.0,0.0,2.0,7.0
17,2.0,0.0,2.0,8.0
17,0.0,0.0,0.0,9.0
17,2.0,0.0,3.0,10.0
17,0.0,0.0,0.0,11.0
17,2.0,0.0,2.0,12.0
17,2.0,0.0,2.0,13.0
17,3.0,0.0,3.0,14.0
17,2.0,0.0,2.0,15.0
17,2.0,0.0,2.0,16.0
17,1.0,0.0,1.0,17.0
17,2.0,1.0,2.0,18.0
17,2.0,1.0,1.0,19.0
17,4.0,1.0,4.0,20.0
19,2.0,0.0,2.0,1.0
19,1.0,0.0,1.0,2.0
19,1.0,0.0,2.0,3.0
19,3.0,0.0,3.0,4.0
19,2.0,0.0,2.0,5.0
19,2.0,0.0,2.0,6.0
19,1.0,0.0,1.0,7.0
19,2.0,0.0,2.0,8.0
19,4.0,0.0,4.0,9.0
19,3.0,0.0,3.0,10.0
19,2.0,0.0,2.0,11.0
19,2.0,0.0,3.0,12.0
19,1.0,0.0,1.0,13.0
19,1.0,0.0,1.0,14.0
19,0.0,0.0,0.0,15.0
19,0.0,0.0,0.0,16.0
19,0.0,0.0,0.0,17.0
19,1.0,0.0,1.0,18.0
19,3.0,0.0,3.0,19.0
19,5.0,0.0,5.0,20.0
21,2.0,0.0,2.0,1.0
21,2.0,0.0,2.0,2.0
21,3.0,0.0,3.0,3.0
21,2.0,1.0,1.0,4.0
21,3.0,1.0,2.0,5.0
21,2.0,1.0,1.0,6.0
21,2.0,1.0,2.0,7.0
21,3.0,2.0,2.0,8.0
21,2.0,2.0,0.0,9.0
21,4.0,2.0,2.0,10.0
21,2.0,2.0,0.0,11.0
21,3.0,3.0,1.0,12.0
21,3.0,3.0,0.0,13.0
21,7.0,3.0,5.0,14.0
21,6.0,3.0,4.0,15.0
21,4.0,3.0,2.0,16.0
21,4.0,3.0,4.0,17.0
21,4.0,4.0,0.0,18.0
21,6.0,4.0,3.0,19.0
21,5.0,4.0,2.0,20.0
23,2.0,0.0,2.0,1.0
23,1.0,1.0,1.0,2.0
23,3.0,1.0,2.0,3.0
23,5.0,2.0,5.0,4.0
23,2.0,2.0,0.0,5.0
23,2.0,2.0,1.0,6.0
23,4.0,2.0,2.0,7.0
23,3.0,2.0,3.0,8.0
23,4.0,2.0,3.0,9.0
23,2.0,2.0,0.0,10.0
23,2.0,2.0,0.0,11.0
23,3.0,2.0,1.0,12.0
23,5.0,2.0,3.0,13.0
23,5.0,2.0,4.0,14.0
23,3.0,2.0,3.0,15.0
23,4.0,2.0,5.0,16.0
23,4.0,2.0,4.0,17.0
23,4.0,2.0,4.0,18.0
23,3.0,2.0,2.0,19.0
23,4.0,2.0,4.0,20.0
25,2.0,0.0,2.0,1.0
25,1.0,0.0,1.0,2.0
25,4.0,0.0,4.0,3.0
25,3.0,0.0,3.0,4.0
25,4.0,0.0,5.0,5.0
25,0.0,0.0,0.0,6.0
25,2.0,0.0,2.0,7.0
25,2.0,0.0,2.0,8.0
25,2.0,0.0,2.0,9.0
25,1.0,0.0,1.0,10.0
25,2.0,0.0,2.0,11.0
25,1.0,0.0,1.0,12.0
25,0.0,0.0,0.0,13.0
25,1.0,0.0,1.0,14.0
25,1.0,0.0,1.0,15.0
25,2.0,0.0,2.0,16.0
25,2.0,0.0,2.0,17.0
25,2.0,0.0,2.0,18.0
25,1.0,0.0,1.0,19.0
25,1.0,0.0,2.0,20.0
27,1.0,0.0,1.0,1.0
27,1.0,0.0,1.0,2.0
27,3.0,0.0,3.0,3.0
27,1.0,0.0,1.0,4.0
27,1.0,0.0,1.0,5.0
27,2.0,1.0,2.0,6.0
27,4.0,1.0,3.0,7.0
27,3.0,1.0,2.0,8.0
27,5.0,1.0,4.0,9.0
27,2.0,1.0,2.0,10.0
27,1.0,1.0,0.0,11.0
27,2.0,2.0,1.0,12.0
27,3.0,2.0,1.0,13.0
27,4.0,3.0,2.0,14.0
27,5.0,3.0,2.0,15.0
27,7.0,5.0,3.0,16.0
27,6.0,5.0,3.0,17.0
27,9.0,5.0,5.0,18.0
27,8.0,5.0,5.0,19.0
27,7.0,5.0,3.0,20.0
29,2.0,0.0,2.0,1.0
29,0.0,0.0,0.0,2.0
29,1.0,0.0,1.0,3.0
29,1.0,0.0,1.0,4.0
29,3.0,0.0,3.0,5.0
29,5.0,1.0,5.0,6.0
29,3.0,1.0,2.0,7.0
29,3.0,1.0,2.0,8.0
29,4.0,1.0,3.0,9.0
29,4.0,1.0,4.0,10.0
29,2.0,1.0,1.0,11.0
29,4.0,1.0,3.0,12.0
29,1.0,1.0,1.0,13.0
29,1.0,1.0,1.0,14.0
29,3.0,1.0,2.0,15.0
29,1.0,1.0,0.0,16.0
29,1.0,1.0,0.0,17.0
29,3.0,1.0,2.0,18.0
29,2.0,1.0,1.0,19.0
29,3.0,1.0,2.0,20.0
31,1.0,0.0,1.0,1.0
31,2.0,0.0,2.0,2.0
31,4.0,0.0,6.0,3.0
31,3.0,0.0,3.0,4.0
31,4.0,0.0,5.0,5.0
31,1.0,0.0,1.0,6.0
31,3.0,0.0,3.0,7.0
31,5.0,0.0,5.0,8.0
31,2.0,0.0,2.0,9.0
31,2.0,0.0,2.0,10.0
31,5.0,0.0,5.0,11.0
31,4.0,0.0,4.0,12.0
31,1.0,0.0,1.0,13.0
31,2.0,0.0,2.0,14.0
31,0.0,0.0,0.0,15.0
31,4.0,0.0,4.0,16.0
31,2.0,0.0,2.0,17.0
31,2.0,0.0,2.0,18.0
31,3.0,0.0,4.0,19.0
31,3.0,0.0,3.0,20.0
33,2.0,0.0,3.0,1.0
33,2.0,1.0,1.0,2.0
33,2.0,1.0,1.0,3.0
33,3.0,1.0,2.0,4.0
33,3.0,1.0,2.0,5.0
33,3.0,1.0,2.0,6.0
33,2.0,1.0,2.0,7.0
33,3.0,1.0,2.0,8.0
33,2.0,1.0,1.0,9.0
33,2.0,1.0,2.0,10.0
33,2.0,1.0,1.0,11.0
33,2.0,1.0,2.0,12.0
33,2.0,1.0,2.0,13.0
33,3.0,1.0,2.0,14.0
33,6.0,2.0,5.0,15.0
33,7.0,3.0,6.0,16.0
33,5.0,3.0,3.0,17.0
33,5.0,4.0,2.0,18.0
33,4.0,4.0,1.0,19.0
33,5.0,4.0,1.0,20.0
35,2.0,0.0,2.0,1.0
35,2.0,0.0,2.0,2.0
35,0.0,0.0,0.0,3.0
35,3.0,0.0,3.0,4.0
35,2.0,0.0,2.0,5.0
35,3.0,0.0,4.0,6.0
35,1.0,0.0,1.0,7.0
35,2.0,1.0,1.0,8.0
35,3.0,1.0,2.0,9.0
35,3.0,1.0,2.0,10.0
35,4.0,1.0,3.0,11.0
35,2.0,1.0,2.0,12.0
35,4.0,1.0,4.0,13.0
35,2.0,1.0,1.0,14.0
35,2.0,1.0,1.0,15.0
35,2.0,1.0,1.0,16.0
35,3.0,2.0,4.0,17.0
35,3.0,2.0,1.0,18.0
35,2.0,2.0,1.0,19.0
